#     MHz     10*Log10(L.P)   Imag(A.Z)
15.9551          -21.9519     -1247.91
15.9553          -21.9436     -1246.71
15.9554          -21.9354     -1245.53
15.9556          -21.9273     -1244.35
15.9557          -21.9192     -1243.19
15.9559          -21.9112     -1242.04
15.9560          -21.9033     -1240.90
15.9562          -21.8954     -1239.77
15.9563          -21.8876     -1238.65
15.9565          -21.8798     -1237.54
15.9566          -21.8722     -1236.44
15.9568          -21.8646     -1235.35
15.9569          -21.8570     -1234.27
15.9571          -21.8495     -1233.20
15.9572          -21.8421     -1232.14
15.9574          -21.8347     -1231.08
15.9575          -21.8274     -1230.04
15.9577          -21.8201     -1229.01
15.9578          -21.8129     -1227.98
15.9580          -21.8058     -1226.97
15.9581          -21.7987     -1225.96
15.9583          -21.7916     -1224.96
15.9584          -21.7847     -1223.97
15.9586          -21.7777     -1222.99
15.9587          -21.7709     -1222.01
15.9589          -21.7640     -1221.05
15.9590          -21.7573     -1220.09
15.9592          -21.7506     -1219.14
15.9593          -21.7439     -1218.20
15.9595          -21.7373     -1217.27
15.9596          -21.7307     -1216.34
15.9598          -21.7242     -1215.42
15.9599          -21.7177     -1214.51
15.9601          -21.7113     -1213.61
15.9602          -21.7049     -1212.71
15.9604          -21.6986     -1211.82
15.9605          -21.6923     -1210.94
15.9607          -21.6861     -1210.07
15.9608          -21.6799     -1209.20
15.9610          -21.6737     -1208.34
15.9611          -21.6676     -1207.48
15.9613          -21.6616     -1206.63
15.9614          -21.6555     -1205.79
15.9616          -21.6496     -1204.96
15.9617          -21.6436     -1204.13
15.9619          -21.6377     -1203.31
15.9620          -21.6319     -1202.49
15.9622          -21.6261     -1201.69
15.9623          -21.6203     -1200.88
15.9625          -21.6146     -1200.09
15.9626          -21.6089     -1199.30
15.9628          -21.6033     -1198.51
15.9629          -21.5977     -1197.73
15.9631          -21.5921     -1196.96
15.9632          -21.5866     -1196.19
15.9634          -21.5811     -1195.43
15.9635          -21.5756     -1194.67
15.9637          -21.5702     -1193.92
15.9638          -21.5648     -1193.18
15.9640          -21.5594     -1192.44
15.9641          -21.5541     -1191.71
15.9643          -21.5489     -1190.98
15.9644          -21.5436     -1190.25
15.9646          -21.5384     -1189.54
15.9647          -21.5332     -1188.82
15.9649          -21.5281     -1188.12
15.9650          -21.5230     -1187.41
15.9652          -21.5179     -1186.71
15.9653          -21.5129     -1186.02
15.9655          -21.5079     -1185.33
15.9656          -21.5029     -1184.65
15.9658          -21.4980     -1183.97
15.9659          -21.4931     -1183.30
15.9661          -21.4882     -1182.63
15.9662          -21.4833     -1181.97
15.9664          -21.4785     -1181.31
15.9665          -21.4737     -1180.65
15.9667          -21.4690     -1180.00
15.9668          -21.4642     -1179.35
15.9670          -21.4595     -1178.71
15.9671          -21.4549     -1178.07
15.9673          -21.4502     -1177.44
15.9674          -21.4456     -1176.81
15.9676          -21.4411     -1176.19
15.9677          -21.4365     -1175.57
15.9679          -21.4320     -1174.95
15.9680          -21.4275     -1174.34
15.9682          -21.4230     -1173.73
15.9683          -21.4186     -1173.13
15.9685          -21.4142     -1172.53
15.9686          -21.4098     -1171.93
15.9688          -21.4054     -1171.34
15.9689          -21.4011     -1170.75
15.9691          -21.3968     -1170.16
15.9692          -21.3925     -1169.58
15.9694          -21.3882     -1169.00
15.9695          -21.3840     -1168.43
15.9697          -21.3798     -1167.86
15.9698          -21.3756     -1167.29
15.9700          -21.3714     -1166.73
15.9701          -21.3673     -1166.17
15.9703          -21.3632     -1165.62
15.9704          -21.3591     -1165.07
15.9706          -21.3550     -1164.52
15.9707          -21.3510     -1163.97
15.9709          -21.3470     -1163.43
15.9710          -21.3430     -1162.89
15.9712          -21.3390     -1162.36
15.9713          -21.3351     -1161.82
15.9715          -21.3311     -1161.30
15.9716          -21.3272     -1160.77
15.9718          -21.3234     -1160.25
15.9719          -21.3195     -1159.73
15.9721          -21.3157     -1159.21
15.9722          -21.3119     -1158.70
15.9724          -21.3081     -1158.19
15.9725          -21.3043     -1157.68
15.9727          -21.3005     -1157.18
15.9728          -21.2968     -1156.68
15.9730          -21.2931     -1156.18
15.9731          -21.2894     -1155.69
15.9733          -21.2857     -1155.20
15.9734          -21.2821     -1154.71
15.9736          -21.2785     -1154.22
15.9737          -21.2748     -1153.74
15.9739          -21.2713     -1153.26
15.9740          -21.2677     -1152.78
15.9742          -21.2641     -1152.31
15.9743          -21.2606     -1151.83
15.9745          -21.2571     -1151.37
15.9746          -21.2536     -1150.90
15.9748          -21.2501     -1150.43
15.9749          -21.2467     -1149.97
15.9751          -21.2432     -1149.52
15.9752          -21.2398     -1149.06
15.9754          -21.2364     -1148.61
15.9755          -21.2330     -1148.15
15.9757          -21.2296     -1147.71
15.9758          -21.2263     -1147.26
15.9760          -21.2230     -1146.82
15.9761          -21.2197     -1146.38
15.9763          -21.2164     -1145.94
15.9764          -21.2131     -1145.50
15.9766          -21.2098     -1145.07
15.9767          -21.2066     -1144.64
15.9769          -21.2033     -1144.21
